iqs_verbatim_2016.vin,iqs_verbatim_2016.vin7,iqs_verbatim_2016.squish_vin,iqs_verbatim_2016.sequence_number,iqs_verbatim_2016.make,iqs_verbatim_2016.series,iqs_verbatim_2016.model_and_type,iqs_verbatim_2016.produktionsdatum,iqs_verbatim_2016.baureihe,iqs_verbatim_2016.werk,iqs_verbatim_2016.motor,iqs_verbatim_2016.getriebe,iqs_verbatim_2016.lackfarbe,iqs_verbatim_2016.polster_material,iqs_verbatim_2016.polster_farbe,iqs_verbatim_2016.sonderausstattung,iqs_verbatim_2016.totalproblems,iqs_verbatim_2016.problems_indicated,iqs_verbatim_2016.category,iqs_verbatim_2016.problem,iqs_verbatim_2016.malfunction_design_unknown,iqs_verbatim_2016.verbatim,iqs_verbatim_2016.mileage,iqs_verbatim_2016.took_to_dealer,iqs_verbatim_2016.resolved,iqs_verbatim_2016.severity,,,,,,,,,,,,,,,
WBXHT3C36GP883592,P883592,WBXHT3C3GP,22813716,BMW,X1,BMW X1 4dr SUV,10/16/15,F48,06.01 Regensburg,B46O,AUT,SCHWARZ 2,PD LEDER DAKOTA M.PERFORIERUNG,MZ MOCCA,01AG; 01CA; 0205; 0248; 0249; 0255; 0258; 028C; 02VB; 02VG; 0302; 0313; 0316; 0319; 0322; 03AG; 03AT; 03L8; 0402; 0420; 0423; 0430; 0431; 0459; 0473; 0488; 0493; 0494; 04LR; 04NE; 0508; 0534; 0544; 0563; 0575; 05A4; 05DP; 0645; 0650; 0655; 0676; 0697; 06AC; 06AE; 0704; 0775; 07HW; 0823; 0842; 0845; 0850; 0853; 08KL; 08S4; 08SL; 08SM; 08TN; 0925; 0927; 0992; 09AA,5,"EXT38, EXT39, DEXP04, DEXP19, AEN11",NULL,EXT39: Excessive Road Noise,D,,,,,,,,,,,,,,,,,,,,
WBXHT3C36GP883592,P883592,WBXHT3C3GP,22813716,BMW,X1,BMW X1 4dr SUV,10/16/15,F48,06.01 Regensburg,B46O,AUT,SCHWARZ 2,PD LEDER DAKOTA M.PERFORIERUNG,MZ MOCCA,01AG; 01CA; 0205; 0248; 0249; 0255; 0258; 028C; 02VB; 02VG; 0302; 0313; 0316; 0319; 0322; 03AG; 03AT; 03L8; 0402; 0420; 0423; 0430; 0431; 0459; 0473; 0488; 0493; 0494; 04LR; 04NE; 0508; 0534; 0544; 0563; 0575; 05A4; 05DP; 0645; 0650; 0655; 0676; 0697; 06AC; 06AE; 0704; 0775; 07HW; 0823; 0842; 0845; 0850; 0853; 08KL; 08S4; 08SL; 08SM; 08TN; 0925; 0927; 0992; 09AA,5,"EXT38, EXT39, DEXP04, DEXP19, AEN11",NULL,DEXP04: Brakes are Noisy,D,,,,,,,,,,,,,,,,,,,,
WBXHT3C36GP883592,P883592,WBXHT3C3GP,22813716,BMW,X1,BMW X1 4dr SUV,10/16/15,F48,06.01 Regensburg,B46O,AUT,SCHWARZ 2,PD LEDER DAKOTA M.PERFORIERUNG,MZ MOCCA,01AG; 01CA; 0205; 0248; 0249; 0255; 0258; 028C; 02VB; 02VG; 0302; 0313; 0316; 0319; 0322; 03AG; 03AT; 03L8; 0402; 0420; 0423; 0430; 0431; 0459; 0473; 0488; 0493; 0494; 04LR; 04NE; 0508; 0534; 0544; 0563; 0575; 05A4; 05DP; 0645; 0650; 0655; 0676; 0697; 06AC; 06AE; 0704; 0775; 07HW; 0823; 0842; 0845; 0850; 0853; 08KL; 08S4; 08SL; 08SM; 08TN; 0925; 0927; 0992; 09AA,5,"EXT38, EXT39, DEXP04, DEXP19, AEN11",NULL,DEXP19: Abnormal Suspension Noises,M,,,,,,,,,,,,,,,,,,,,
WBXHT3C36GP883592,P883592,WBXHT3C3GP,22813716,BMW,X1,BMW X1 4dr SUV,10/16/15,F48,06.01 Regensburg,B46O,AUT,SCHWARZ 2,PD LEDER DAKOTA M.PERFORIERUNG,MZ MOCCA,01AG; 01CA; 0205; 0248; 0249; 0255; 0258; 028C; 02VB; 02VG; 0302; 0313; 0316; 0319; 0322; 03AG; 03AT; 03L8; 0402; 0420; 0423; 0430; 0431; 0459; 0473; 0488; 0493; 0494; 04LR; 04NE; 0508; 0534; 0544; 0563; 0575; 05A4; 05DP; 0645; 0650; 0655; 0676; 0697; 06AC; 06AE; 0704; 0775; 07HW; 0823; 0842; 0845; 0850; 0853; 08KL; 08S4; 08SL; 08SM; 08TN; 0925; 0927; 0992; 09AA,5,"EXT38, EXT39, DEXP04, DEXP19, AEN11",NULL,AEN11: Navigation System - DTU/Poor Location,D,,,,,,,,,,,,,,,,,,,,
WBA1J9C50GV371599,V371599,WBA1J9C5GV,25493223,BMW,2 Series,BMW 2 Series 2dr Cpe,7/10/15,F22,29.11 Leipzig,N55,AUT,MINERALGRAU METALLIC,LC LEDER DAKOTA,L5 KORALLROT/AKZENT SCHWARZ,01CA; 01CB; 0248; 0249; 0258; 02NH; 02TB; 02TR; 02VB; 02VF; 02VL; 0302; 0319; 0322; 03AG; 03DZ; 0403; 0423; 0430; 0431; 0441; 0459; 0481; 0488; 0493; 0494; 04AE; 04NE; 04WG; 0502; 0508; 0521; 0522; 0524; 0534; 0544; 0563; 05DC; 05DS; 0609; 0645; 0655; 0674; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NS; 06WA; 0710; 0715; 0760; 0775; 0823; 0842; 0845; 0853; 08KL; 08S4; 08TN; 0925; 0992; 0993; 09AA,2,"DEXP05, SEAT21",Driving Experience,DEXP05: Excessive Brake Dust,D,NULL,4500,No,,,,,,,,,,,,,,,,,
WBA1J9C50GV371599,V371599,WBA1J9C5GV,25493223,BMW,2 Series,BMW 2 Series 2dr Cpe,7/10/15,F22,29.11 Leipzig,N55,AUT,MINERALGRAU METALLIC,LC LEDER DAKOTA,L5 KORALLROT/AKZENT SCHWARZ,01CA; 01CB; 0248; 0249; 0258; 02NH; 02TB; 02TR; 02VB; 02VF; 02VL; 0302; 0319; 0322; 03AG; 03DZ; 0403; 0423; 0430; 0431; 0441; 0459; 0481; 0488; 0493; 0494; 04AE; 04NE; 04WG; 0502; 0508; 0521; 0522; 0524; 0534; 0544; 0563; 05DC; 05DS; 0609; 0645; 0655; 0674; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NS; 06WA; 0710; 0715; 0760; 0775; 0823; 0842; 0845; 0853; 08KL; 08S4; 08TN; 0925; 0992; 0993; 09AA,2,"DEXP05, SEAT21",Seats,SEAT21: Seat Belt Buckle/Release - Controls DTU/Poor Location,D,NULL,4500,No,,,,,,,,,,,,,,,,,
WBA5B1C50GG132767,G132767,WBA5B1C5GG,2700880N,BMW,5 Series,BMW 5 Series 4dr Sdn,10/15/15,F10,02.04 Dingolfing,N55,AUT,MEDITERRANBLAU METALLIC,LC LEDER DAKOTA,V2 VENETOBEIGE EXKLUSIVNAHT(SW),01CA; 01CB; 01CC; 01CD; 0212; 0258; 02FV; 02TB; 02VB; 0302; 0316; 0319; 0322; 0323; 03AG; 03DZ; 0403; 0423; 0430; 0431; 0453; 0455; 0456; 0465; 0488; 0494; 04BN; 04NE; 04U2; 04UR; 0508; 0524; 0534; 0575; 05A1; 05DS; 0609; 0610; 0645; 0655; 0688; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 06WA; 0710; 07S2; 0823; 0845; 0850; 0853; 0876; 08KL; 08S4; 08SM; 08TN; 0925; 09AA,3,"EXT01, DEXP09, FCD39",Exterior,EXT01: Front Doors - Hard to Open/Close,NULL,"The hinges do not catch the weight of the door, so the door falls back toward the frame too easily. Door opens too wide. Hard to reach door to close it from the driver's seat when the door is fully extended.",1000,,,,,,,,,,,,,,,,,,
WBA5B1C50GG132767,G132767,WBA5B1C5GG,2700880N,BMW,5 Series,BMW 5 Series 4dr Sdn,10/15/15,F10,02.04 Dingolfing,N55,AUT,MEDITERRANBLAU METALLIC,LC LEDER DAKOTA,V2 VENETOBEIGE EXKLUSIVNAHT(SW),01CA; 01CB; 01CC; 01CD; 0212; 0258; 02FV; 02TB; 02VB; 0302; 0316; 0319; 0322; 0323; 03AG; 03DZ; 0403; 0423; 0430; 0431; 0453; 0455; 0456; 0465; 0488; 0494; 04BN; 04NE; 04U2; 04UR; 0508; 0524; 0534; 0575; 05A1; 05DS; 0609; 0610; 0645; 0655; 0688; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 06WA; 0710; 07S2; 0823; 0845; 0850; 0853; 0876; 08KL; 08S4; 08SM; 08TN; 0925; 09AA,3,"EXT01, DEXP09, FCD39",Driving Experience,DEXP09: Foot Pedals - Too Close Together/Too Far Apart,NULL,Sometimes catch the accelerator pedal while applying brake.,1000,No,,,,,,,,,,,,,,,,,
WBA5B1C50GG132767,G132767,WBA5B1C5GG,2700880N,BMW,5 Series,BMW 5 Series 4dr Sdn,10/15/15,F10,02.04 Dingolfing,N55,AUT,MEDITERRANBLAU METALLIC,LC LEDER DAKOTA,V2 VENETOBEIGE EXKLUSIVNAHT(SW),01CA; 01CB; 01CC; 01CD; 0212; 0258; 02FV; 02TB; 02VB; 0302; 0316; 0319; 0322; 0323; 03AG; 03DZ; 0403; 0423; 0430; 0431; 0453; 0455; 0456; 0465; 0488; 0494; 04BN; 04NE; 04U2; 04UR; 0508; 0524; 0534; 0575; 05A1; 05DS; 0609; 0610; 0645; 0655; 0688; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 06WA; 0710; 07S2; 0823; 0845; 0850; 0853; 0876; 08KL; 08S4; 08SM; 08TN; 0925; 09AA,3,"EXT01, DEXP09, FCD39",Features/Controls/Displays (FCD),FCD39: Park Assist/Backup Warning - Controls/Displays DTU/Poor Location,NULL,"The distance between car and object is distorted. You can see what is behind, but it is difficult  to judge the distance.",1000,,,,,,,,,,,,,,,,,,
WBA7F2C52GG418347,G418347,WBA7F2C5GG,2854212F,BMW,7 Series,BMW 7 Series 4dr Sdn,11/16/15,G12,02.04 Dingolfing,N63R,AUT,BLACK SAPPHIRE METALLIC,NA EXCL.LED.NAP.ERW.,RI COGNAC,01CA; 01CB; 0212; 0248; 024N; 0255; 0258; 02TB; 02VB; 0302; 0319; 0322; 0323; 03AG; 03DS; 0402; 0416; 0441; 0453; 0456; 0465; 04AX; 04HA; 04NB; 04ND; 04T7; 04UR; 0552; 05A1; 05AC; 05AP; 05AT; 05DL; 05DP; 05DS; 0609; 0610; 0645; 0650; 0655; 0688; 06AC; 06AE; 06AK; 06AM; 06AN; 06AP; 06NW; 06U8; 06WB; 06WD; 07S5; 0823; 0840; 0842; 0845; 0850; 0853; 08KL; 08S4; 08SM; 08TN; 0925; 09AA,2,"FCD52, AEN06",Features/Controls/Displays (FCD),FCD52: Self-Parking System - Broken/NW,M,NULL,,No,,,,,,,,,,,,,,,,,
WBA7F2C52GG418347,G418347,WBA7F2C5GG,2854212F,BMW,7 Series,BMW 7 Series 4dr Sdn,11/16/15,G12,02.04 Dingolfing,N63R,AUT,BLACK SAPPHIRE METALLIC,NA EXCL.LED.NAP.ERW.,RI COGNAC,01CA; 01CB; 0212; 0248; 024N; 0255; 0258; 02TB; 02VB; 0302; 0319; 0322; 0323; 03AG; 03DS; 0402; 0416; 0441; 0453; 0456; 0465; 04AX; 04HA; 04NB; 04ND; 04T7; 04UR; 0552; 05A1; 05AC; 05AP; 05AT; 05DL; 05DP; 05DS; 0609; 0610; 0645; 0650; 0655; 0688; 06AC; 06AE; 06AK; 06AM; 06AN; 06AP; 06NW; 06U8; 06WB; 06WD; 07S5; 0823; 0840; 0842; 0845; 0850; 0853; 08KL; 08S4; 08SM; 08TN; 0925; 09AA,2,"FCD52, AEN06",Audio/Communication/Entertainment/Navigation (ACEN),AEN06: Built-in Voice Recognition Frequently Doesn't Recognize/Misinterprets Commands,D,NULL,,No,,,,,,,,,,,,,,,,,
WBA7F2C59GG417891,G417891,WBA7F2C5GG,2407314D,BMW,7 Series,BMW 7 Series 4dr Sdn,10/30/15,G12,02.04 Dingolfing,N63R,AUT,BLACK SAPPHIRE METALLIC,NA EXCL.LED.NAP.ERW.,SW SCHWARZ,01CA; 01CB; 01MA; 0212; 021H; 0255; 0258; 02TB; 02VB; 0302; 0319; 0322; 0323; 0337; 03AG; 03DS; 03DZ; 0407; 0416; 0441; 0453; 0454; 0456; 0460; 04AY; 04F4; 04F5; 04HC; 04NB; 04ND; 04T6; 04T7; 04U1; 04UR; 0552; 05A1; 05AC; 05AP; 05AT; 05DL; 05DP; 05DS; 0609; 0610; 0645; 0650; 0655; 0688; 06AC; 06AE; 06AK; 06AM; 06AN; 06AP; 06FR; 06NW; 06U8; 06WB; 06WD; 0715; 0760; 0775; 07GZ; 0823; 0840; 0842; 0845; 0850; 0853; 08KL; 08S4; 08SM; 08TN; 0925; 09AA,1,INT19,Interior,INT19: Glove Box - DTU,D,round ie: tire gauge or large items ie: sunglass case rolls out onto box lid because there is no lip to stop items stopping door from closing making it difficult to lean across to readjust the items in the glove box,NULL,No,,2,,,,,,,,,,,,,,,
WBXHT3C38GP884081,P884081,WBXHT3C3GP,28547794,BMW,X1,BMW X1 4dr SUV,10/20/15,F48,06.01 Regensburg,B46O,AUT,SPARKLING STORM BRILLANTEFFEKT META,PD LEDER DAKOTA M.PERFORIERUNG,SW SCHWARZ,01AG; 01CA; 0205; 0248; 0249; 0255; 0258; 028C; 02VB; 02VG; 0302; 0313; 0316; 0319; 0322; 03AG; 03AT; 03L8; 0402; 0420; 0423; 0430; 0431; 0459; 0473; 0488; 0493; 0494; 04F7; 04NE; 0508; 0534; 0544; 0563; 0575; 05A4; 05DP; 0610; 0645; 0650; 0655; 0674; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NS; 06UP; 0704; 0775; 07HW; 0823; 0842; 0845; 0850; 0853; 08KL; 08S4; 08SL; 08SM; 08TN; 0925; 0927; 0992; 09AA,1,FCD25,Features/Controls/Displays (FCD),FCD25: Exterior Side-View Mirrors/Controls - Controls DTU/Poor Location,D,Side rear view mirrors backup (reverse) automatic positioning in not adjustable.  The dealer can't do anything.  The model of car isn't build with any adjustment options.,NULL,Yes,Not at all,3,,,,,,,,,,,,,,,
WBXHT3C32GP888482,P888482,WBXHT3C3GP,24080512,BMW,X1,BMW X1 4dr SUV,11/26/15,F48,06.01 Regensburg,B46O,AUT,MINERALGRAU METALLIC,PD LEDER DAKOTA M.PERFORIERUNG,MZ MOCCA,01AG; 01CA; 0205; 0248; 0249; 0255; 0258; 028A; 02VB; 02VG; 0302; 0313; 0316; 0319; 0322; 03AG; 03AT; 03L8; 0402; 0420; 0423; 0430; 0431; 0459; 0473; 0488; 0493; 0494; 04FD; 04LR; 04NE; 0508; 0534; 0544; 0563; 0575; 05A4; 05AS; 05DP; 0610; 0645; 0650; 0655; 0674; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NS; 06UP; 0704; 0775; 07HW; 0823; 0842; 0845; 0850; 0853; 08KL; 08S4; 08SL; 08SM; 08TN; 0925; 0927; 0992; 09AA,1,SEAT19,Seats,SEAT19: Memory Seats - Controls DTU/Poor Location,D,"The car has profiles activated by the keyfob,NULL,900,Yes,Partially
5UXKU6C5XG0R34408,0R34408,5UXKU6C5G0,28582145,BMW,X6,BMW X6 4dr SUV,2016-02-18,F16,75.10 Spartanburg,N63T,AUT,MINERALSILBER METALLIC,LC LEDER DAKOTA,D1 D1 KORALLROT,01CA; 0212; 0248; 0255; 02TZ; 02VB; 02VM; 0300; 0302; 0319; 0322; 0323; 0328; 03AG; 0403; 0417; 0420; 0423; 0430; 0441; 0456; 0488; 0493; 0494; 0496; 04B9; 04M5; 04NB; 04U1; 0502; 0508; 0524; 0563; 0575; 05A1; 05AG; 05AS; 05DL; 0609; 0610; 0645; 0655; 0688; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06FH; 06NP; 06WB; 07KL; 0823; 0845; 0853; 08KL; 08S4; 08SL; 08SM; 08TH; 08TN; 0992; 09AA,1,AEN09,Audio/Communication/Entertainment/Navigation (ACEN),AEN09: Built-in Rear-Seat Video System - DTU/Poor Location,D,not intuitive. Not as advertised. thought that the rear entertainment system could be controlled with the front controls",NULL," thought that the rear-seat system was uncoupled and capable of playing individualized entertainment.""",,Yes,,,,,,,,,,,,,,,
WBA1F9C51GV545486,V545486,WBA1F9C5GV,22848725,BMW,2 Series,BMW 2 Series 2dr Cpe,9/12/15,F22,29.11 Leipzig,N26,AUT,MINERALGRAU METALLIC,LC LEDER DAKOTA,L3 SCHWARZ/AKZENT ROT,01CA; 01CB; 0216; 0249; 0255; 0258; 02L7; 02TB; 02VB; 0346; 03AG; 03DZ; 0403; 0423; 0441; 0459; 0481; 0493; 0494; 04AE; 04GD; 04NE; 0508; 0520; 0521; 0534; 0544; 05DC; 05DS; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NS; 06WA; 0775; 07AC; 0823; 0842; 0845; 0853; 08KL; 08TN; 0925; 0992; 0993; 09AA,1,AEN12,Audio/Communication/Entertainment/Navigation (ACEN),AEN12: Navigation System - Inaccurate,D,,1500,Yes,Partially,1,,,,,,,,,,,,,,,
5UXWZ7C59G0R32903,0R32903,5UXWZ7C5G0,2408455X,BMW,X3,BMW X3 4dr SUV,11/13/15,F25,75.10 Spartanburg,N20,AUT,ALPINWEISS 3,LU LEDER NEVADA,SW SCHWARZ,01CA; 01CC; 01CD; 0205; 0216; 0249; 0255; 0258; 02A1; 02VB; 0302; 0316; 0319; 0322; 03AG; 03AT; 0402; 0420; 0423; 0430; 0431; 0459; 0465; 0488; 0493; 0494; 04FU; 04NE; 04NG; 04U2; 0508; 0521; 0534; 0544; 0563; 05A1; 0645; 0655; 0663; 0676; 0697; 06AC; 06AE; 06NP; 0823; 0845; 0853; 0876; 08KL; 08SL; 08SM; 08TN; 0927; 0992; 09AA,3,"DEXP06, HVAC08, ENGTRN22",Driving Experience,DEXP06: Brakes Don't Have Enough Stopping Power,NULL,It seems like I have to press harder than normal on the brake pedal to stop quickly.,4500,No,,,,,,,,,,,,,,,,,
5UXWZ7C59G0R32903,0R32903,5UXWZ7C5G0,2408455X,BMW,X3,BMW X3 4dr SUV,11/13/15,F25,75.10 Spartanburg,N20,AUT,ALPINWEISS 3,LU LEDER NEVADA,SW SCHWARZ,01CA; 01CC; 01CD; 0205; 0216; 0249; 0255; 0258; 02A1; 02VB; 0302; 0316; 0319; 0322; 03AG; 03AT; 0402; 0420; 0423; 0430; 0431; 0459; 0465; 0488; 0493; 0494; 04FU; 04NE; 04NG; 04U2; 0508; 0521; 0534; 0544; 0563; 05A1; 0645; 0655; 0663; 0676; 0697; 06AC; 06AE; 06NP; 0823; 0845; 0853; 0876; 08KL; 08SL; 08SM; 08TN; 0927; 0992; 09AA,3,"DEXP06, HVAC08, ENGTRN22","Heating, Ventilation,NULL,HVAC08: Air Conditioning Doesn't Achieve/Maintain Desired Temperature,D,This is my 4th BMW and with each one I have to put the climate on 60 degrees to get the cool air to come on and do anything to combat the hot Texas heat. I've even joked to my friends who also have BMW or Mercedes that 'the Germans make great cars but they don't get the Texas heat' when it comes to the air conditioning. And one of the dealer courtesy car guys said",,,,,,,,,,,,,,,,,,,,,,
5UXWZ7C59G0R32903,0R32903,5UXWZ7C5G0,2408455X,BMW,X3,BMW X3 4dr SUV,11/13/15,F25,75.10 Spartanburg,N20,AUT,ALPINWEISS 3,LU LEDER NEVADA,SW SCHWARZ,01CA; 01CC; 01CD; 0205; 0216; 0249; 0255; 0258; 02A1; 02VB; 0302; 0316; 0319; 0322; 03AG; 03AT; 0402; 0420; 0423; 0430; 0431; 0459; 0465; 0488; 0493; 0494; 04FU; 04NE; 04NG; 04U2; 0508; 0521; 0534; 0544; 0563; 05A1; 0645; 0655; 0663; 0676; 0697; 06AC; 06AE; 06NP; 0823; 0845; 0853; 0876; 08KL; 08SL; 08SM; 08TN; 0927; 0992; 09AA,3,"DEXP06, HVAC08, ENGTRN22",Engine/Transmission,ENGTRN22: Abnormal Transmission Noises,NULL,It's noisier than my other BMWs when it's in park or going down the road but I mostly notice it if I leave the car in park and get out of the car for a quick second with the car engine on.,4500,No,,,,,,,,,,,,,,,,,
WMWXU1C55G2D08439,2D08439,WMWXU1C5G2,2362823T,MINI,Cooper,MINI Cooper 4dr Hbk,7/22/15,F55,77.29 Oxford,B36M,AUT,ELECTRIC BLUE II METALLIC,K9 LEATHERETTE                  ,E1 E1 CARBON BLACK,01CA; 0205; 0249; 0255; 0258; 02F3; 02VB; 0300; 0327; 0382; 0402; 0423; 0450; 0473; 04C1; 04EP; 04NE; 04V9; 04VA; 0521; 0534; 0544; 0550; 0563; 05DD; 0645; 0693; 0697; 06FP; 06NE; 06NM; 0823; 0842; 0845; 0850; 0853; 08KL; 08SM; 08TN; 0925; 0992; 09AA,1,INT41,Interior,INT41: Unpleasant Interior Smell/Odor,M,Car smells like vinegar when you first start it.,NULL,No,,1,,,,,,,,,,,,,,,
WMWXP5C55G3B15300,3B15300,WMWXP5C5G3,26705367,MINI,Cooper,MINI Cooper 2dr Hbk,11/26/15,F56,74.20 Born,B36M,-,ELECTRIC BLUE II METALLIC,NE LEDER CROSS PUNCH,E1 E1 CARBON BLACK,01CA; 0223; 0249; 0255; 0258; 02GY; 02VB; 0300; 0313; 0346; 0383; 03AG; 0402; 0423; 0430; 0431; 0450; 0473; 0481; 0494; 04C1; 04EP; 04NE; 04V9; 04VA; 0507; 0521; 0534; 0544; 0550; 0563; 05A2; 05DD; 0645; 0693; 0697; 06FP; 06NE; 06NM; 0785; 0823; 0842; 0845; 0850; 0853; 08KL; 08SM; 08TN; 0925; 0927; 0992; 09AA,1,FCD01,Features/Controls/Displays (FCD),FCD01: Front Windshield Wipers/Washers - Broken/NW,M,(Copied from FCD97): squeaky windshield wiper driver side,700,Yes,Don't know,1,,,,,,,,,,,,,,,
WBS8M9C51G5D30578,5D30578,WBS8M9C5G5,2278932F,BMW,3 Series,BMW 3 Series M3 4dr Sdn,10/6/15,F80,06.01 Regensburg,S55,DKG,TANSANITBLAU METALLIC,LK LEDER MERINO,JR SONOMA BEIGE,01CA; 01CB; 0248; 02MK; 02VB; 02VF; 02VZ; 0302; 0319; 0322; 03AG; 0417; 0423; 0430; 0431; 0459; 0488; 0490; 0493; 0494; 0496; 04AE; 04WL; 0502; 0508; 0521; 0534; 0544; 0552; 0563; 0575; 05AC; 05AG; 05AP; 05AS; 05DL; 05DS; 0609; 0610; 0645; 0655; 0688; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NH; 0760; 0775; 0823; 0845; 0853; 08KL; 08S4; 08TH; 08TN; 0925; 0992; 0993; 09AA,1,AEN12,Audio/Communication/Entertainment/Navigation (ACEN),AEN12: Navigation System - Inaccurate,D,"Incorrect position,NULL, 1 hour plus duration, both on same 400 mile road trip",3500,,,,,,,,,,,,,,,,,,
5UXKU6C52G0R34094,0R34094,5UXKU6C5G0,2546969V,BMW,X6,BMW X6 4dr SUV,11/13/15,F16,75.10 Spartanburg,N63T,AUT,BLACK SAPPHIRE METALLIC,LC LEDER DAKOTA,SW SCHWARZ,01CA; 0212; 0248; 02TV; 02VB; 0302; 0319; 0322; 0323; 0337; 03AG; 03DZ; 0403; 0417; 0420; 0423; 0430; 0441; 0456; 0488; 0493; 0494; 0496; 04D0; 04M5; 04NB; 04U1; 0502; 0508; 0552; 0563; 0575; 05A1; 05AC; 05AG; 05AP; 05AS; 05DL; 0609; 0610; 0645; 0655; 0688; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 06WB; 0710; 0715; 0760; 0775; 0823; 0845; 0853; 08KL; 08S4; 08SL; 08SM; 08TH; 08TN; 0992; 09AA,1,EXT16,Exterior,EXT16: Trunk/Hatch/Tailgate - Hard to Open/Close,M,"Sometimes the remote has to pressed multiple times before the tailgate will open.  Additionally,NULL,,No,
WBA7F2C52GG418381,G418381,WBA7F2C5GG,2701902Q,BMW,7 Series,BMW 7 Series 4dr Sdn,2015-11-17,G12,02.04 Dingolfing,N63R,AUT,BLACK SAPPHIRE METALLIC,NA EXCL.LED.NAP.ERW.,CY CANBERRABEIGE,01CA; 01CB; 01MA; 0212; 021H; 0255; 0258; 02TB; 02VB; 0302; 0319; 0322; 0323; 0337; 03AG; 03DS; 03DZ; 0402; 0416; 0441; 0453; 0456; 0465; 0494; 04BP; 04NB; 04ND; 04T7; 04UR; 0552; 05A1; 05AC; 05AP; 05AT; 05DL; 05DP; 05DS; 0609; 0610; 0645; 0650; 0655; 0688; 06AC; 06AE; 06AK; 06AM; 06AN; 06AP; 06NW; 06U8; 06WB; 06WD; 0715; 0760; 0775; 0823; 0840; 0842; 0845; 0850; 0853; 08KL; 08S4; 08SM; 08TN; 0925; 09AA,2,AEN06"," AEN07""",Audio/Communication/Entertainment/Navigation (ACEN),AEN06: Built-in Voice Recognition Frequently Doesn't Recognize/Misinterprets Commands,D,,,,,,,,,,,,,,,
WBA7F2C52GG418381,G418381,WBA7F2C5GG,2701902Q,BMW,7 Series,BMW 7 Series 4dr Sdn,11/17/15,G12,02.04 Dingolfing,N63R,AUT,BLACK SAPPHIRE METALLIC,NA EXCL.LED.NAP.ERW.,CY CANBERRABEIGE,01CA; 01CB; 01MA; 0212; 021H; 0255; 0258; 02TB; 02VB; 0302; 0319; 0322; 0323; 0337; 03AG; 03DS; 03DZ; 0402; 0416; 0441; 0453; 0456; 0465; 0494; 04BP; 04NB; 04ND; 04T7; 04UR; 0552; 05A1; 05AC; 05AP; 05AT; 05DL; 05DP; 05DS; 0609; 0610; 0645; 0650; 0655; 0688; 06AC; 06AE; 06AK; 06AM; 06AN; 06AP; 06NW; 06U8; 06WB; 06WD; 0715; 0760; 0775; 0823; 0840; 0842; 0845; 0850; 0853; 08KL; 08S4; 08SM; 08TN; 0925; 09AA,2,"AEN06, AEN07",Audio/Communication/Entertainment/Navigation (ACEN),AEN07: Built-in Bluetooth Mobile Phone/Device Frequent Pairing/Connectivity Issues,D,NULL,1500,No,,,,,,,,,,,,,,,,,
5UXKR2C55G0R70887,0R70887,5UXKR2C5G0,2546768Y,BMW,X5,BMW X5 4dr SUV,1/6/16,F15,75.10 Spartanburg,N55,AUT,BLACK SAPPHIRE METALLIC,LC LEDER DAKOTA,B8 TERRA,01CA; 0212; 0245; 0255; 0258; 02LS; 02VB; 0302; 0319; 0322; 0346; 03AG; 03AT; 03E1; 0402; 0417; 0420; 0423; 0430; 0441; 0456; 0488; 0493; 0494; 04AC; 04NB; 04NC; 04NE; 04UB; 0508; 0522; 0524; 0563; 0575; 05A1; 0609; 0645; 0655; 0688; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0853; 08KL; 08S4; 08SL; 08SM; 08TN; 0992; 09AA,2,"DEXP16, HVAC02",Driving Experience,DEXP16: Tilt/Telescopic Steering Wheel/Column - DTU/Poor Location,D,NULL,5000,No,,,,,,,,,,,,,,,,,
