,Vehicle,Total_Problems,Category,Mode,Verbatim,Score
2015,BMW 3 Series M3 4dr Sdn,5,Engine/Transmission,D,Noticeable when on slight downhill incline and going slowly.,0.0
2014,BMW 3 Series M3 4dr Sdn,5,Audio/Communication/Entertainment/Navigation (ACEN),M,": The Mobile Phone is sometimes used to play music.  When that is the case, it sometimes starts and restarts the music multiple times  after playing the first few seconds.",0.4939
543,BMW 3 Series M3 4dr Sdn,2,Audio/Communication/Entertainment/Navigation (ACEN),M,: the usb power ports won't fast charge my phone,0.0
2580,BMW 3 Series M3 4dr Sdn,1,Interior,U,"Obey oversprayed the residual treatment and left stains on interior panel and exterior, they are working to tesolve",0.0
542,BMW 3 Series M3 4dr Sdn,2,Exterior,D,It takes more than 2 or 3 tries to get it to work.,0.0
439,BMW 3 Series M3 4dr Sdn,2,Interior,M,Isn't a huge deal but slightly annoying. I'm pretty certain I can get it fixed but haven't gone around to do so just yet.,0.4521
2453,BMW 3 Series M3 4dr Sdn,1,Interior,M,Sound insulation shifted while turning,0.0
2012,BMW 3 Series M3 4dr Sdn,5,Features/Controls/Displays (FCD),M,": 1. Driver window squeaks when in closed  position and on roads with uneven surface.  Problem went away when cracked.  Took it to dealer, who found that the window guide was distorted.  Replaced guide which fixed the problem. .2.  Wiper blade squeaks against windshield when wet.  Identified by dealer as deteriorated blade .  Wiper blades were both replaced.  Noise is no longer present.",-0.8519
1815,BMW 3 Series M3 4dr Sdn,4,Exterior,D,"I'm guessing why this car makes so much road noise is because of the Michelin tires and how its cold out, also where i live the roads... not very nice. I'm sure in the summer these tires will make up for it.",0.0038
1816,BMW 3 Series M3 4dr Sdn,4,Interior,M,"in the middle of the consle where the radio stations,cd and climate control are. In between the cd and climate control the carbon fiber is sticking out a little bit. sometimes i hear it squeak and deffently when i press on to it but its no big deal to me still love the car :)",0.8402
1817,BMW 3 Series M3 4dr Sdn,4,Interior,M,"not very sure, first time driving the car the interior smelt a little funny but not from the air vents, can't explain what it smelt like but wasn't a problem to me.",0.747
1932,BMW 3 Series M3 4dr Sdn,3,Features/Controls/Displays (FCD),M,: the front parking aid does not always work. It does not beep ro identify that I am parking and will not notify me of how close a curb or wall is in front of my vehicle,0.0
2011,BMW 3 Series M3 4dr Sdn,5,Driving Experience,U,The 'Comfort' setting for the suspension is not very comfortable.,-0.4439
1387,BMW 3 Series M3 4dr Sdn,4,Exterior,M,Trunk needs to be slammed hard to close properly otherwise it pops back open,-0.1027
2013,BMW 3 Series M3 4dr Sdn,5,Features/Controls/Displays (FCD),M,": 1. Driver window squeaks when in closed  position and on roads with uneven surface.  Problem went away when cracked.  Took it to dealer, who found that the window guide was distorted.  Replaced guide which fixed the problem. .2.  Wiper blade squeaks against windshield when wet.  Identified by dealer as deteriorated blade .  Wiper blades were both replaced.  Noise is no longer present.",-0.8519
438,BMW 3 Series M3 4dr Sdn,2,Interior,M,Creak and rattle comes and goes but it isn't a huge deal. Could be fixed but haven't gone around to do so just yet.,-0.3491
1933,BMW 3 Series M3 4dr Sdn,3,Engine/Transmission,M,: the car 'bucks' sometimes when pressing on the throttle. I will have to immideatly let off the gas and let the RPMs settle and then press evenly on the pedal again to push the DTC into the next gear.,0.0
1594,BMW 3 Series M3 4dr Sdn,1,Engine/Transmission,D,First gear is very jumpy in sports mode,-0.3167
1562,BMW 3 Series M3 4dr Sdn,8,Interior,M,,0.0
1316,BMW 3 Series M3 4dr Sdn,1,Interior,M,"Only over speed bumps , I am a technician for bmw have yet to look into problem because it is a race car and race car makes noises.",-0.4019
1934,BMW 3 Series M3 4dr Sdn,3,Engine/Transmission,M,"sometimes the proximity sensor does not work to let me open the door by pulling. I have to use the key fob to enter the vehicle. Once I start the engine the screen displays 'increased battery drain while car was turned off, if issue persists seek service'",0.2732
1563,BMW 3 Series M3 4dr Sdn,8,Interior,M,,0.0
1564,BMW 3 Series M3 4dr Sdn,8,Interior,M,,0.0
1565,BMW 3 Series M3 4dr Sdn,8,Interior,M,"Not sure exactly where it is coming from.  There are creaks around doors, dash and mirror",0.3182
1386,BMW 3 Series M3 4dr Sdn,4,Exterior,M,Have to really slam the hood to close it. Otherwise only one side will latch,-0.4391
1559,BMW 3 Series M3 4dr Sdn,8,Audio/Communication/Entertainment/Navigation (ACEN),M,: Entertainment center rebooted randomly a couple of times a couple of months ago.  Not sure why.,0.6249
1558,BMW 3 Series M3 4dr Sdn,8,Driving Experience,M, : This seems to happen during acceleration but very intermittent,0.0
393,BMW 3 Series M3 4dr Sdn,3,Engine/Transmission,M,"Faint whine from transmission on light throttle at cruising speedsClutch chatters at low speed 1st to 2nd gear changesOccasionally 1st gear engagement is rough and rattlesShort grinding noise when going up steep driveway at an angle, when one wheel comes off the ground momentarilySoft clunk when fully engaging reverse gear",0.2716
392,BMW 3 Series M3 4dr Sdn,3,Engine/Transmission,M,Clutch pedal squeaks on initial depression when ambient temperature is warm,-0.4215
391,BMW 3 Series M3 4dr Sdn,3,Interior,M,I think the rubber in the window seals are rubbing against something causing the creaks,0.0
1561,BMW 3 Series M3 4dr Sdn,8,"Heating, Ventilation, and Air Conditioning (HVAC)",D,Seems to take longer than it should to get to set temperature.  Much longer than my other vehicles,0.0
1560,BMW 3 Series M3 4dr Sdn,8,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
816,BMW 3 Series Plug-In Hybrid 4dr Sdn,2,Exterior,M,Can hear wind or air coming through window seals.,0.0
637,BMW 3 Series Plug-In Hybrid 4dr Sdn,1,Interior,M,,0.0
815,BMW 3 Series Plug-In Hybrid 4dr Sdn,2,Exterior,M,Paint chipped on trunk of car.,0.0
1624,BMW 3 Series Plug-In Hybrid 4dr Sdn,2,Exterior,M,Charge port door wont open,0.0
1844,BMW 3 Series Plug-In Hybrid 4dr Sdn,1,Driving Experience,M,Slightly out of alignment,0.0
1625,BMW 3 Series Plug-In Hybrid 4dr Sdn,2,Audio/Communication/Entertainment/Navigation (ACEN),D,"The turn by turn navigation in a big city like San Jose,CA downtown was inaccurate..kept on telling ne  to turn on non particular street",0.3612
1462,BMW 3 Series Plug-In Hybrid 4dr Sdn,2,Audio/Communication/Entertainment/Navigation (ACEN),D,"Previous BMWs I have owned, the navigation background color was either black , green , or greyscale . This 2018 has what looks like a white over off white color for background and road colors... very tough to see if it is bright out. Not a fan of this at all.",0.7102
702,BMW 3 Series Plug-In Hybrid 4dr Sdn,2,Exterior,M,Had to take in so they could open for me. Still experience difficulty opening once in a while.,-0.34
701,BMW 3 Series Plug-In Hybrid 4dr Sdn,1,Exterior,M,A dull spot on the passenger side top of front fender. Appeared to be no clear coat.,-0.128
1461,BMW 3 Series Plug-In Hybrid 4dr Sdn,2,Exterior,M,"The hybrid has an electric lock unlike any other BMWs I have ever had, and you have to press a button to the left/below steering column. Not a fan of this, and it did not open one time. Was able to force it open and it has not given me any issues since. Not sure why this car has that feature now as the door locks when you lock the car... took to Union Park BMW and they checked it out and could not replicate the issue, we discussed and they told me to let them know if it happens again.",0.5574
876,BMW 3 Series Plug-In Hybrid 4dr Sdn,1,"Heating, Ventilation, and Air Conditioning (HVAC)",D,THERE IS NO SPECIFIC BUTTONS TO USE TO HEAT THE INSIDE OF THE CAR OTHER THAN TURNING ON THE AC AND ADJUST THE TEMPERATURE MANUALLY OR TURNING ON THE DEFROSTER,-0.296
703,BMW 3 Series Plug-In Hybrid 4dr Sdn,2,Audio/Communication/Entertainment/Navigation (ACEN),M,the speaker has been replaced. speaker was under drivers seat.,0.0
157,BMW 3 Series Plug-In Hybrid 4dr Sdn,1,Seats,D,,0.0
1393,BMW 3 Series Plug-In Hybrid 4dr Sdn,2,Exterior,M,The fuel door must be opened from the interior and exterior of the vehicle. Must Depress the fuel door several times before the door opens.,-0.4939
1729,BMW 3 Series Plug-In Hybrid 4dr Sdn,2,Exterior,M,all 4 wheels had scratches on them,0.0
1156,BMW 3 Series Plug-In Hybrid 4dr Sdn,2,Audio/Communication/Entertainment/Navigation (ACEN),D,SPECIFICALLY ASKED ABOUT TEXT READING and receiving. TOLD Yes it has it. Once the papers were signed I found out that only certain configurations have it and they 'limit' blue tooth ability. For some reason BMW decided to limit Bluetooth functionality so you have to purchase more options. HOWEVER the car can not be upgraded. This cheapens the entire experience. Dealership and BMW unsupportive.,0.7269
2789,BMW 3 Series Plug-In Hybrid 4dr Sdn,1,Driving Experience,M,Handbrake wont hold under all conditions. Seems very week.,0.0
1155,BMW 3 Series Plug-In Hybrid 4dr Sdn,2,Features/Controls/Displays (FCD),D,Control in a 'non-intuitive spot',0.0
512,BMW 3 Series Plug-In Hybrid 4dr Sdn,2,Audio/Communication/Entertainment/Navigation (ACEN),M,": problem with connecting phone to play music in car. also when phone is plug in, the whole system start flashing back and forth.",-0.0772
1730,BMW 3 Series Plug-In Hybrid 4dr Sdn,2,Exterior,M,paint chips,0.0
1588,BMW 3 Series Plug-In Hybrid 4dr Sdn,3,Exterior,M,,0.0
511,BMW 3 Series Plug-In Hybrid 4dr Sdn,2,Exterior,M,": there is a feature that you stand at the back of vehicle and in the middle, stick the foot and truck automatically open. well,, my previous car don't function well with this feature. this new car still doesn't perform well with this feature",-0.3875
1590,BMW 3 Series Plug-In Hybrid 4dr Sdn,3,"Heating, Ventilation, and Air Conditioning (HVAC)",D,,0.0
1392,BMW 3 Series Plug-In Hybrid 4dr Sdn,2,Exterior,D,The Key Button for the Trunk Release is to sensitive and opens when not required.,0.0
2036,BMW 3 Series Plug-In Hybrid 4dr Sdn,1,Exterior,M,The door does not unlock with the car periodically,0.0
1589,BMW 3 Series Plug-In Hybrid 4dr Sdn,3,Exterior,M,,0.0
2803,BMW 3 Series Plug-In Hybrid 4dr Sdn,1,"Heating, Ventilation, and Air Conditioning (HVAC)",D,I just started using the AC.  The blower is loud when the AC is on high.,0.0
1783,BMW 4 Series 2dr Cnv,3,Seats,D,Memory seat button hidden between bottom seat cushion and door. Cannot be seen while sitting in seat.Easy to accidentally hit the 'set' button and reset the memory.,-0.34
1454,BMW 4 Series 2dr Cnv,1,Interior,U,I have an intermittent squeak I canâ€™t figure out.,0.0
1247,BMW 4 Series 2dr Cnv,3,Driving Experience,U,"When the car is in the economy drive mode, the steering wheel sometimes locks or is nonresponsive.  When I put the vehicle back into comfort mode it works.",0.3612
697,BMW 4 Series 2dr Cnv,1,Seats,U,"When I put items on the passenger seat, it is to sensative and insists on alarming the 'Fasten Seat Belt' warning.  I just click the seat belt and put say, a box on top of it.  I haven't told the dealer because I figure more safety is better safety if a child is in the seat or so.",0.8047
1248,BMW 4 Series 2dr Cnv,3,Audio/Communication/Entertainment/Navigation (ACEN),M,: The audio does not synch well with the iphone music,-0.2057
1249,BMW 4 Series 2dr Cnv,3,Seats,D,,0.0
1362,BMW 4 Series 2dr Cnv,3,Audio/Communication/Entertainment/Navigation (ACEN),D,"The Apple Car Play feature is a nice feature, but if you cannot move flawlessly between non-apple car play feature and apple car play features.  For example if you are listening to a VM or listening to playlist, and go back to car radio sometimes you cannot go back to apple car play; the system does not connect even tho the phone shows it's connected.",0.8754
122,BMW 4 Series 2dr Cnv,1,Exterior,M,"Going through a car wash, water sometimes drips in at the front left and right corners where the convertible roof meets the windsheild frame. Appears the water pressure is enough to penetrate at those spots. Had the same problem with a 2011 3 series convertible used to own. Solution was to find a car wash with less pressure.",-0.5859
1870,BMW 4 Series 2dr Cnv,1,Audio/Communication/Entertainment/Navigation (ACEN),D,: Satellite radio goes in and out at times.,0.0
904,BMW 4 Series 2dr Cnv,2,Exterior,M,Sometimes the fuel door doesn't latch unless you lift it slightly when closing it.,0.0
126,BMW 4 Series 2dr Cnv,2,Driving Experience,D,Partially blocks dashboard,-0.2263
127,BMW 4 Series 2dr Cnv,2,Interior,D,,0.0
72,BMW 4 Series 2dr Cnv,2,Features/Controls/Displays (FCD),D,The control is close to the gear shift where hand and or harm can easily turn it off.,0.2732
71,BMW 4 Series 2dr Cnv,2,Features/Controls/Displays (FCD),M,To open locked door you must grab handle and pull.  To lock door must use your thumb on hanldle.  This function would work after delivery.  BMW dealer fixed by installing a new module.  No problems noe.,-0.5994
2372,BMW 4 Series 2dr Cnv,1,Engine/Transmission,M,"This was due to wires being chewed by an animal of some kind.  This happened 3 different times and 3 different areas.  Since my vehicle is 1 of 5 vehicles that park where I park, I find it very difficult to believe that this would only happen to my vehicle.  However, the repairs were taken care of by the dealership.",0.5868
1782,BMW 4 Series 2dr Cnv,3,Audio/Communication/Entertainment/Navigation (ACEN),M,Satellite radio was missing from menu on delivery. Repaired by dealer.,-0.296
835,BMW 4 Series 2dr Cnv,7,Interior,U,The cover over the track of the seat in the back behind the drivers seat lifted up and wont go back down.,0.0
698,BMW 4 Series 2dr Cnv,1,Features/Controls/Displays (FCD),M,"The alarm would go off after locking the car.  Sometimes, it would go off within 60 seconds and sometimes 60 minutes.",-0.34
1361,BMW 4 Series 2dr Cnv,3,Exterior,M,"On certain road surfaces , the vibration noise is so intense you cannot talk on handsfree calls or you end up talking louder so passenger can hear you speak.  There is also off and on squeaks where rear window and front windows meet.",0.4294
903,BMW 4 Series 2dr Cnv,2,Exterior,M,,0.0
1351,BMW 4 Series 2dr Cnv,1,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
155,BMW 4 Series 2dr Cnv,1,Driving Experience,M,Squeaking noise in the suspension on any up or down movement of vehicle,0.0
250,BMW 4 Series 2dr Cnv,1,Exterior,M,,0.0
1781,BMW 4 Series 2dr Cnv,3,Features/Controls/Displays (FCD),D,"The switch to turn on the heated steering wheel is on the side of the steering column. The button lights up when the system is on, but it is impossible to see the light when driving. it is therefore hard to know if the heater is on or off.",-0.1531
1470,BMW 4 Series 2dr Cnv,1,Engine/Transmission,D,It's just confusing on how to put it in park,-0.2263
189,BMW 4 Series 2dr Cnv,3,"Heating, Ventilation, and Air Conditioning (HVAC)",D,Not so much difficult to use but I can't figure out exactly how to get the Auto temp to work. Sometimes I have AC 'off' and it's low 60s outside and thermostat set at 69 and it's too hot but still hot air is coming out of the vents. Even when center vent temp rotating dial is set to blue color. How am I supposed to use the Auto and the rotating red/blue dial? It's unclear to me.,-0.7218
150,BMW 4 Series 2dr Cnv,1,Interior,D,front and passenger side door sills were stained white as well as the material adjacent.,0.2732
829,BMW 4 Series 2dr Cnv,7,Features/Controls/Displays (FCD),D,"The initial warning of low tire pressure did not indicate which tire was the problem.  It was only later, when the pressure was even lower that it indicated which tire was the problem.",-0.926
830,BMW 4 Series 2dr Cnv,7,Features/Controls/Displays (FCD),D,The time is small and appears in different places and is hard to find.,-0.1027
190,BMW 4 Series 2dr Cnv,3,"Heating, Ventilation, and Air Conditioning (HVAC)",D,See answer above. I'd like for Auto to just take care of the temp but it doesn't seem to work that well. Similar to my previous 4 series BMW.,0.5267
233,BMW 4 Series 2dr Cnv,3,Driving Experience,D,I feel as if the brake pedal is to close to the gas pedal and if one is not careful might hit the brake instead of gas or vice versa,-0.1139
831,BMW 4 Series 2dr Cnv,7,Features/Controls/Displays (FCD),D,Im nervous using it and feel out of control.  I also am not sure what to expect or how to practice using it so I feel safe.,0.03
832,BMW 4 Series 2dr Cnv,7,Audio/Communication/Entertainment/Navigation (ACEN),M,: It does not save my favorite radio stations.  It does save my favorite places and my favorite satellite stations but not the am and fm stations.,-0.7048
833,BMW 4 Series 2dr Cnv,7,Audio/Communication/Entertainment/Navigation (ACEN),D,When I want to call someone or when I want to go somewhere and I say the name or place it does not understand me.  This only happens occasionally and only certain names or places.  Also when I dictate a message to be sent it will miss words or will make up new words.  I try repeating it and it still gets it wrong.  Sometimes it sends gibberish.,-0.3102
834,BMW 4 Series 2dr Cnv,7,Audio/Communication/Entertainment/Navigation (ACEN),D,Sometimes it takes me to closed roads and then keeps trying to reroute me back to the closed road when I dont turn on it.,0.0
1363,BMW 4 Series 2dr Cnv,3,Interior,U,Rattling of where rear and front side windows meet.,0.0
232,BMW 4 Series 2dr Cnv,3,Driving Experience,D,": Brake makes noises when i start off , it feels like it it clutching to the brake, I hear it once and it goes away, then i hear it again",0.3612
231,BMW 4 Series 2dr Cnv,3,Exterior,U,"After I wash my car, excessive water holds in the side mirror cracks and when I take off the wind blows the water out , streaking my car.",0.0
188,BMW 4 Series 2dr Cnv,3,Features/Controls/Displays (FCD),D,I have no idea how to make this system work.,-0.296
2446,BMW 4 Series 2dr Cnv,2,Features/Controls/Displays (FCD),D,"Just warm enough where the wheel is not cold, but it definitely could be warmer. Kind of like taking a lukewarm bath",0.8765
50,BMW 4 Series 2dr Cnv,3,Audio/Communication/Entertainment/Navigation (ACEN),D,": The new vehicle, in contrast to the replaced same model vehicle, does not allow to mobile phones to work simultaneously through Bluetooth.  Also, the navigation system is not set up for the most practical route and to avoid 1 minute of time will instead direct a route of two tolls rather than one. This is acceptable in areas that the driver knows since the 2nd toll route can be avoided, but not so in unfamiliar areas.  This is not a dealer issue - manufacturer responsibility.",-0.246
1693,BMW 4 Series 2dr Cnv,3,Features/Controls/Displays (FCD),D,Limits cargo space after done correctly.,0.0
1732,BMW 4 Series 2dr Cnv,2,Seats,D,Hard to reach the 'socket' for the driver's belt.,-0.0772
291,BMW 4 Series 2dr Cnv,6,Seats,U,angle of seat is uncomfortable,-0.3818
290,BMW 4 Series 2dr Cnv,6,Seats,D,not sure how to operate,-0.2411
18,BMW 4 Series 2dr Cnv,8,Driving Experience,D,I just noticed the dust on the rims of the wheels.  I don't know how much of it is dust mixed with dirt,-0.34
289,BMW 4 Series 2dr Cnv,6,Seats,D,"Seat adjustment does not provide adequate range of settings., and seat juts forward at an uncomfortable angle, and cannot be adjusted.",-0.505
17,BMW 4 Series 2dr Cnv,8,Exterior,D,"Manually lifting the trunk hatch is difficult, it's  hard and slow",-0.4404
1692,BMW 4 Series 2dr Cnv,3,Features/Controls/Displays (FCD),D,Dont know where the buttons are,0.0
1691,BMW 4 Series 2dr Cnv,3,Driving Experience,D,They feel weak compared to other cars. I have to push harder to brake.,-0.4404
16,BMW 4 Series 2dr Cnv,8,Exterior,D,Just difficult to reach,-0.34
288,BMW 4 Series 2dr Cnv,6,Seats,M,seats are uncomfortable.  Bang head on the door when entering the car.  poor design.,-0.6908
1076,BMW 4 Series 2dr Cnv,1,Seats,M,seems like the plastic shell. When pressure is put to it . can be remediated by changing seat positions,0.0772
287,BMW 4 Series 2dr Cnv,6,Features/Controls/Displays (FCD),D,Can't find them,0.0
286,BMW 4 Series 2dr Cnv,6,Features/Controls/Displays (FCD),D,Noise is too loud and goes off for too long..... makes revsersing an extremely unpleasant experience.  I would LOVE to be able to turn the sound off.,0.3695
1684,BMW 4 Series 2dr Cnv,2,Engine/Transmission,M,: :Drivetrain failure message came on in 3rd month of ownership; car was towed to dealer; fuel injector seals replaced  weeks ago.  Waiting to see if problem recurrs,-0.7184
613,BMW 4 Series 2dr Cnv,2,Audio/Communication/Entertainment/Navigation (ACEN),D,: We connected two iPhones.  One phone somehow got disconnected and I have not been able to reconnect.,0.0
614,BMW 4 Series 2dr Cnv,2,Seats,M,: One of the memory settings  does not adjust.,0.0
19,BMW 4 Series 2dr Cnv,8,Features/Controls/Displays (FCD),D,The steering wheel does heat up fairly quickly but never to a very warm temp and not the entire wheel,-0.3235
2589,BMW 4 Series 2dr Cnv,1,Seats,M,Sounds like the seat has a basic loose but or needs lubrication to fix squeak as Iâ€™m sitting in it and driving. Acceleration and deceleration cause it to make noise along with rocking back and forth. Have appt with dealership this next week to fix it.,0.0258
1731,BMW 4 Series 2dr Cnv,2,Features/Controls/Displays (FCD),D,Indicator needs to be brighter and accompanied by an audible alert .,0.5859
21,BMW 4 Series 2dr Cnv,8,Seats,D,The belt fits closely against the seat and is difficult to reach,-0.34
313,BMW 4 Series 2dr Cnv,2,Features/Controls/Displays (FCD),D,,0.0
2600,BMW 4 Series 2dr Cnv,2,Audio/Communication/Entertainment/Navigation (ACEN),D,": It is too complicated for me to understand. Too much to remember. Maybe I am at fault, maybe it is not intuitive enough. Maybe both. It tries to do too much. Most of the features are unimportant to me and will never bemused. Just complicates the whole operation of the system.",-0.6124
312,BMW 4 Series 2dr Cnv,2,Features/Controls/Displays (FCD),D,,0.0
2599,BMW 4 Series 2dr Cnv,2,Driving Experience,D,: The speedometer is blocked by the wheel. Cannot see speed.,-0.2732
1580,BMW 4 Series 2dr Cnv,1,Features/Controls/Displays (FCD),D,BMW replace the steering wheel under warranty.,0.0
1164,BMW 4 Series 2dr Cnv,1,Seats,M,: NOISE REAR SEAT,0.0
1707,BMW 4 Series 2dr Cnv,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1706,BMW 4 Series 2dr Cnv,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1033,BMW 4 Series 2dr Cnv,1,Interior,U,roof makes noise when it's cold,0.0
38,BMW 4 Series 2dr Cnv,2,Audio/Communication/Entertainment/Navigation (ACEN),D,seems to occasionally drop blue tooth.   maybe 3 times in the 10 weeks I have had the car.  not taken to dealer as it is not happening often enough,-0.204
1031,BMW 4 Series 2dr Cnv,2,Interior,D,must use short mug or cup. Most insulated bottles won't fit.,-0.2755
1030,BMW 4 Series 2dr Cnv,2,Audio/Communication/Entertainment/Navigation (ACEN),D, : I had to go back to the dealer 6 times to be able to program Spotify and Pandora.  Unfortunately I have to go thru a few steps each time I turn the car on.,-0.34
39,BMW 4 Series 2dr Cnv,2,Seats,D,just after delivery we noticed a black scuff mark on the rear seat...likely caused by the rep who delivered the vehicle,0.0
1701,BMW 4 Series 2dr Cnv,1,Audio/Communication/Entertainment/Navigation (ACEN),D,"Colors, graphics not appropriate colors or shade to see in bright light.",0.4404
23,BMW 4 Series 2dr Cnv,8,Engine/Transmission,D,"This is not an ongoing problem, just occurs randomly",0.3089
2447,BMW 4 Series 2dr Cnv,2,Interior,U,Rear window sqweak,0.0
22,BMW 4 Series 2dr Cnv,8,Interior,D,The cup holder seems to be too close to the dashboard,0.0
20,BMW 4 Series 2dr Cnv,8,Seats,D,"The headrest control is somewhat difficult to use, it might be the positioning",-0.2975
1681,BMW 4 Series 2dr Cnv,1,Exterior,M,It looks like glue just under the passenger side mirror. I noticed it when I washed it myself.,0.3612
1683,BMW 4 Series 2dr Cnv,2,Interior,M,DIscolored.  Dealer replaced immediately.,0.0
650,BMW 4 Series 2dr Cnv,1,Interior,M,"Hard top convertible ,BMW claims it is weight of roof",0.1027
2252,BMW 4 Series 2dr Cnv,3,Exterior,D,It is the run flat tires that make the road noise.,0.0
652,BMW 4 Series 2dr Cnv,2,Interior,D,"cup holder is too close to radio/dash. if it were moved back an inch it would be fine. large drinks and insulated carriers do not fit all the way in holder, top of the drink hits the radio/dash.",0.1255
651,BMW 4 Series 2dr Cnv,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1124,BMW 4 Series 2dr Cnv,1,Interior,D,If I have the window unrolled to reach my arm out  my deodorant soils the material and it is very hard to clean off. I have tried several different brands and it still happens. I,0.3336
2253,BMW 4 Series 2dr Cnv,3,Interior,M,Car has been a the dealership twice for this issue and they are having a problem finding the rattle. it is at the dealer now for two days. I don't know if it is fixed.,-0.4019
51,BMW 4 Series 2dr Cnv,3,Interior,D,Driver side floor mat becomes detached from peggged holes periodically when entering and exiting the vehicle.,-0.128
1660,BMW 4 Series 2dr Cnv,2,Driving Experience,D,Itâ€™s a shame that they didnâ€™t use an electronic format for the parking brake to save space and make the console more comfortable for the driver,0.5709
1661,BMW 4 Series 2dr Cnv,2,Driving Experience,D,Feels cheap a step back in time wouldnâ€™t expect a manual leaver in a car in price range,0.0
2251,BMW 4 Series 2dr Cnv,3,Exterior,M,The fender was scratched upon delivery to the dealership.,0.0
2257,BMW 4 Series 2dr Cnv,1,Audio/Communication/Entertainment/Navigation (ACEN),M,: The audio will just randomly jump from my presets either to the general satellite listing or to link with my iTunes or pandora .,0.0
1666,BMW 4 Series 2dr Cnv,1,Exterior,M,must really slam it shut,-0.4391
49,BMW 4 Series 2dr Cnv,3,Audio/Communication/Entertainment/Navigation (ACEN),D,": The new vehicle, in contrast to the replaced same model vehicle, does not allow to mobile phones to work simultaneously through Bluetooth.  Also, the navigation system is not set up for the most practical route and to avoid 1 minute of time will instead direct a route of two tolls rather than one. This is acceptable in areas that the driver knows since the 2nd toll route can be avoided, but not so in unfamiliar areas.  This is not a dealer issue - manufacturer responsibility.",-0.246
1668,BMW 4 Series 2dr Cnv,4,Seats,M,Driver seat occasionally does not adjust to fob. : Driver seat does not always adjust to particular fob.,0.0
2484,BMW 4 Series 2dr Cnv,1,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1644,BMW 4 Series 2dr Cnv,2,Interior,D,"Please see above.  Also when I drop my phone between the center console and the driver's seat I cannot see it and it is very difficult and frustrating to find it. If you had a tray that the driver could place in their vehicle to catch the telephone, you would make many of your customers very happy, even if they had to buy this accessory themselves. I have the same problem in my other car, a 2016 528i.",-0.5367
1645,BMW 4 Series 2dr Cnv,2,Interior,D,"Due to my height , the fact that the car is so low, and the fact that the car is two door  and I have limited range of motion due to a fused left ankle, it is very hard for me to exit the car without hitting the inside driver's side door panel with my shoes.",-0.6524
1667,BMW 4 Series 2dr Cnv,4,Driving Experience,D,Hand brake location difficult to reach for tall people.,0.2023
1670,BMW 4 Series 2dr Cnv,4,"Heating, Ventilation, and Air Conditioning (HVAC)",D,"Not logical. Had to get explination as to filtered air, not filtered air, etc. Useless!!!",-0.5684
431,BMW 4 Series 2dr Cnv,1,Features/Controls/Displays (FCD),D,The control is in the center of the dash and is hard to reach if you are standing on the outside of the door and have to reach in.  It would be easier to access if it was on the door.,0.3818
2787,BMW 4 Series 2dr Cnv,1,Exterior,U,"Primarily on the drivers door, and to a far lesser degree on the passenger side door, noticed a bit of 'sticky material' stuck to the low outside corner of the doors. Something had dripped from the inside of the doors down the small  are at the base of the doors. The dealer indicated that this was a wax  that is used inside the door panel and that the heat may have melted a bit of excess.  I was encouraged to remove it myself using hot water on a cloth.",-0.1531
276,BMW 4 Series 2dr Cnv,1,Exterior,M,Dealer says itâ€™s becauce it is a convertible. All that is needed is more powerful lifters for the heavier truck lid,0.4754
1669,BMW 4 Series 2dr Cnv,4,"Heating, Ventilation, and Air Conditioning (HVAC)",D,,0.0
853,BMW 4 Series 2dr Cpe,1,Exterior,M,"It appears that there was black or a dark paint that was mixed in to the light blue, which caused minor imperfections in the paint.",0.0
2074,BMW 4 Series 2dr Cpe,1,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1170,BMW 4 Series 2dr Cpe,1,Seats,D,The seat belt rewtracts,0.0
1586,BMW 4 Series 2dr Cpe,2,Seats,U,Mechanism to bring seatbelt forward did not work at delivery,0.0
1868,BMW 4 Series 2dr Cpe,1,Interior,D,I use a 30Oz insulated Rtic and this will not fit into the cup holder due to size and location,-0.2755
1051,BMW 4 Series 2dr Cpe,3,Audio/Communication/Entertainment/Navigation (ACEN),D,Just one lone port on this level of vehicle? And hidden inside a hinged compartment without ease of access. It's a process attaching and removing devices.,-0.4956
1587,BMW 4 Series 2dr Cpe,2,Engine/Transmission,M,: Donâ€™t know - light came on - took it to shop - they had it for 3 weeks,0.0
2393,BMW 4 Series 2dr Cpe,5,Features/Controls/Displays (FCD),D,"Clock on instrument panel is hidden at the bottom right of the dashboard and is often blocked by the steering wheel.  The clock should be in the middle of the display and up near the top. That would make it very obvious. It should also be a bit larger.  The clock on the control panel is not bright enough or large enough.  When I can't see the clock on the dashboard, I also have to turn my head and squint to see the other clock.  This takes my eyes off the road for too long.",-0.4031
479,BMW 4 Series 2dr Cpe,2,Features/Controls/Displays (FCD),D,": The horn does not work well, it takes a lot of pressure to get a toot and the sound itself is weak.  I will get BMW to check it when I take it in for service.",-0.7108
